x,y,z
-141.799,215.885,190.075
-141.684,215.903,190.073
-141.57,215.922,190.072
-141.455,215.94,190.07
-141.34,215.958,190.069
-141.225,215.977,190.067
-141.11,215.995,190.066
-140.995,216.013,190.064
-140.881,216.032,190.063
-140.765,216.05,190.061
-140.65,216.068,190.06
-140.535,216.086,190.058
-140.42,216.105,190.057
-140.305,216.123,190.055
-140.189,216.141,190.054
-140.074,216.159,190.052
-139.959,216.178,190.051
-139.843,216.196,190.049
-139.728,216.214,190.048
-139.612,216.232,190.046
-139.496,216.25,190.044
-139.38,216.269,190.043
-139.265,216.287,190.041
-139.149,216.305,190.04
-139.033,216.323,190.038
-138.917,216.341,190.037
-138.801,216.359,190.035
-138.685,216.378,190.034
-138.569,216.396,190.032
-138.452,216.414,190.031
-138.336,216.432,190.029
-138.22,216.45,190.028
-138.104,216.468,190.026
-137.987,216.487,190.025
-137.871,216.505,190.023
-137.754,216.523,190.022
-137.637,216.541,190.02
-137.521,216.559,190.019
-137.404,216.578,190.018
-137.287,216.596,190.016
-137.17,216.614,190.015
-137.053,216.632,190.013
-136.937,216.651,190.012
-136.82,216.669,190.01
-136.702,216.687,190.009
-136.585,216.705,190.008
-136.468,216.724,190.006
-136.351,216.742,190.005
-136.234,216.761,190.003
-136.116,216.779,190.002
-135.999,216.798,190.001
-135.882,216.816,189.999
-135.764,216.835,189.998
-135.647,216.853,189.997
-135.529,216.872,189.995
-135.411,216.89,189.994
-135.294,216.909,189.993
-135.176,216.928,189.991
-135.058,216.947,189.99
-134.941,216.965,189.989
-134.823,216.984,189.988
-134.705,217.003,189.986
-134.587,217.022,189.985
-134.469,217.041,189.984
-134.351,217.06,189.983
-134.233,217.079,189.981
-134.115,217.098,189.98
-133.997,217.117,189.979
-133.879,217.136,189.978
-133.761,217.155,189.977
-133.643,217.174,189.975
-133.524,217.194,189.974
-133.406,217.213,189.973
-133.288,217.232,189.972
-133.17,217.252,189.971
-133.051,217.271,189.97
-132.933,217.291,189.969
-132.814,217.31,189.968
-132.696,217.33,189.967
-132.578,217.349,189.966
-132.459,217.369,189.965
-132.341,217.389,189.964
-132.222,217.409,189.963
-132.104,217.428,189.962
-131.985,217.448,189.961
