x,y,z
141.799,215.885,190.075
138.336,216.432,190.029
134.823,216.984,189.988
131.274,217.568,189.955
127.713,218.19,189.937
124.152,218.846,189.932
120.587,219.523,189.935
117.011,220.211,189.944
113.421,220.905,189.952
109.812,221.603,189.956
106.184,222.308,189.957
102.536,223.023,189.961
98.8672,223.749,189.967
95.1739,224.485,189.972
91.4527,225.231,189.978
87.7017,225.989,189.985
83.9211,226.766,189.992
80.1103,227.563,189.998
76.2706,228.381,190.004
72.4029,229.22,190.008
68.5071,230.079,190.011
64.5858,230.96,190.01
60.6447,231.884,190.006
56.6887,232.864,190.003
52.7216,233.9,189.997
48.7458,234.988,189.989
44.7585,236.118,189.982
40.7549,237.274,189.973
36.7317,238.451,189.963
32.6924,239.662,189.952
28.6454,240.928,189.94
24.5945,242.258,189.926
20.5405,243.654,189.91
16.4798,245.107,189.891
12.4069,246.604,189.869
8.31669,248.134,189.843
4.20411,249.685,189.813
0.0659018,251.253,189.777
-4.07164,252.823,189.734
-8.19794,254.388,189.685
-12.3539,255.963,189.626
-16.5497,257.549,189.557
-20.7717,259.141,189.479
-25.0181,260.74,189.392
-29.2879,262.346,189.297
-33.5803,263.959,189.195
-37.8942,265.579,189.087
-42.2273,267.207,188.975
-46.5762,268.841,188.862
-50.9369,270.479,188.747
-55.3083,272.12,188.633
-59.6894,273.76,188.519
-64.0772,275.396,188.402
-68.4633,277.024,188.277
-72.8373,278.641,188.145
-77.193,280.234,188.011
-81.5319,281.792,187.875
-85.8583,283.302,187.749
-90.1755,284.753,187.624
-94.4847,286.137,187.497
-98.7857,287.45,187.377
-103.078,288.689,187.276
-107.359,289.87,187.181
-111.627,291.002,187.066
-115.882,292.06,186.959
-120.13,293.028,186.857
-124.368,293.899,186.746
-128.594,294.642,186.644
-132.805,295.254,186.552
-136.997,295.732,186.471
-141.168,296.089,186.398
-145.315,296.336,186.339
-149.442,296.498,186.293
-153.553,296.594,186.261
-157.65,296.627,186.238
-161.733,296.583,186.216
-165.797,296.437,186.201
-169.84,296.18,186.188
-173.864,295.819,186.169
-177.873,295.357,186.144
-181.87,294.807,186.112
-185.859,294.185,186.081
-189.844,293.507,186.045
-193.824,292.77,186.01
-197.792,291.973,185.971
-201.736,291.111,185.928
-205.649,290.174,185.879
-209.528,289.157,185.832
-213.38,288.063,185.777
-217.205,286.892,185.711
-220.998,285.633,185.649
-224.758,284.287,185.591
-228.483,282.857,185.531
-232.168,281.341,185.472
-235.813,279.736,185.43
-239.423,278.062,185.387
-243.003,276.327,185.349
-246.56,274.546,185.299
-250.094,272.717,185.243
-253.603,270.841,185.173
-257.078,268.902,185.103
-260.516,266.898,185.035
-263.908,264.822,184.967
-267.249,262.67,184.901
-270.54,260.449,184.825
-273.77,258.146,184.753
-276.932,255.76,184.694
-280.034,253.3,184.64
